guide_id,title,source,batch,priority,cluster,domain,primary_offer,secondary_offer,bundle_role
ch-01,Always On: Your High-Alert Brain,Ch1,batch-1,high,reactivity,nervous_system_mood_cognition,kit,sms,practical_support
ch-03,Hypervigilance at Home,Ch3,batch-3,medium,reactivity,nervous_system_mood_cognition,guide,sms,practical_support
ch-04,Anger and Short-Fuse Days,Ch4,batch-1,high,reactivity,nervous_system_mood_cognition,kit,sms,practical_support
ch-06,Depression and Numbness,Ch6,batch-1,high,general,nervous_system_mood_cognition,kit,sms,practical_support
ch-08,Shame Spirals + Self-Loathing,Ch8,batch-1,high,moral,nervous_system_mood_cognition,guide,kit,conversation_tools
ch-09,Memory Slips,Ch9,batch-3,medium,general,nervous_system_mood_cognition,guide,sms,practical_support
ch-11,Decision Fatigue,Ch11,batch-3,medium,general,nervous_system_mood_cognition,guide,sms,practical_support
ch-12,Overreacting to Small Stuff,Ch12,batch-3,medium,reactivity,nervous_system_mood_cognition,guide,sms,practical_support
ch-13,Chronic Sleep Debt,Ch13,batch-3,medium,sleep,sleep_body_pain_substances,guide,bundle,regulation_stack
ch-14,Sleep Apnea and Snoring,Ch14,batch-3,medium,body,sleep_body_pain_substances,guide,bundle,regulation_stack
ch-19,"Noise, Crowds, Public Spaces",Ch19,batch-3,medium,body,sleep_body_pain_substances,guide,bundle,regulation_stack
ch-20,"Vision, Balance, Motion Sensitivity",Ch20,batch-3,medium,body,sleep_body_pain_substances,guide,bundle,regulation_stack
ch-21,Home Feels Like a Minefield,Ch21,batch-3,medium,relationship,relationships_family_parenting,guide,kit,conversation_tools
ch-22,Red/Yellow/Green Communication,Ch22,batch-3,medium,relationship,relationships_family_parenting,guide,kit,conversation_tools
ch-23,Repair After Damage,Ch23,batch-1,high,relationship,relationships_family_parenting,guide,kit,conversation_tools
ch-24,Parenting on Empty,Ch24,batch-2,medium,relationship,relationships_family_parenting,guide,kit,conversation_tools
ch-26,Kids in the Blast Radius,Ch26,batch-2,medium,relationship,relationships_family_parenting,guide,kit,conversation_tools
ch-27,Family Life in Transition,Ch27,batch-2,medium,relationship,relationships_family_parenting,guide,kit,conversation_tools
ch-28,Emotional Numbness,Ch28,batch-3,medium,general,intimacy_sex_connection,guide,sms,practical_support
ch-29,Low Desire and Low Drive,Ch29,batch-2,medium,intimacy,intimacy_sex_connection,guide,kit,conversation_tools
ch-30,Stress Shuts Down Sex,Ch30,batch-2,medium,intimacy,intimacy_sex_connection,guide,kit,conversation_tools
ch-31,Sex and Avoidance After Difficult Experiences,Ch31,batch-2,medium,intimacy,intimacy_sex_connection,guide,kit,conversation_tools
ch-33,Touch Without Pressure,Ch33,batch-3,medium,intimacy,intimacy_sex_connection,guide,kit,conversation_tools
ch-34,"Body Image, Scars, Sexual Confidence",Ch34,batch-3,medium,intimacy,intimacy_sex_connection,guide,kit,conversation_tools
ch-35,Sex After Injury/Health Change,Ch35,batch-3,medium,intimacy,intimacy_sex_connection,guide,kit,conversation_tools
ch-36,Moral Injury 101,Ch36,batch-1,high,moral,moral_injury_guilt_shame_spirituality,guide,kit,conversation_tools
ch-37,Betrayed by the System,Ch37,batch-3,medium,moral,moral_injury_guilt_shame_spirituality,guide,kit,conversation_tools
ch-38,When You Feel Like the Villain,Ch38,batch-3,medium,moral,moral_injury_guilt_shame_spirituality,guide,kit,conversation_tools
ch-39,"Faith, God, Big Questions",Ch39,batch-3,medium,moral,moral_injury_guilt_shame_spirituality,guide,kit,conversation_tools
ch-41,Between Worlds: Identity After Role,Ch41,batch-3,medium,work,work_identity_transition,bundle,sms,ongoing_support
ch-42,Rebuilding Mission and Meaning,Ch42,batch-3,medium,work,work_identity_transition,bundle,sms,ongoing_support
ch-45,Loneliness and Loss of Tribe,Ch45,batch-3,medium,work,work_identity_transition,bundle,sms,ongoing_support
